,Unnamed: 0,iata_code,id,ident,type,name,latitude_r,longitude_r,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,local_code,home_link,wikipedia_link,keywords,Name,TotalSeats,Country.Name,Airport1Latitude,Airport1Longitude,name_calc,Country_Name
0,0,AAA,4983.0,NTGA,medium_airport,Anaa Airport,-17.3526,-145.509995,10.0,OC,PF,PF-U-A,Anaa,yes,NTGA,,,https://en.wikipedia.org/wiki/Anaa_Airport,,Anaa,18670.897,French Polynesia,-17.35510063,-145.5084992,Anaa Airport (AAA),French Polynesia
1,1,AAB,27342.0,YARY,small_airport,Arrabury Airport,-26.69639,141.048718,334.0,OC,AU,AU-QLD,Tanbar,no,YARY,,,https://en.wikipedia.org/wiki/Arrabury_Airport,,Arrabury Airport,1308.566,Australia,-26.70000076,141.0417023,Arrabury Airport (AAB),Australia
2,2,AAC,3176.0,HEAR,medium_airport,El Arish International Airport,31.078565,33.836791,118.0,AS,EG,EG-SIN,El Arish,yes,HEAR,,,https://en.wikipedia.org/wiki/El_Arish_International_Airport,,El Arish International,1386.56,Egypt,31.07690048,33.83409882,El Arish International Airport (AAC),Egypt
3,3,AAE,2060.0,DABB,medium_airport,Annaba Rabah Bitat Airport,36.826781,7.81334,16.0,AF,DZ,DZ-23,Annaba,yes,DABB,,,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,Les Salines Airport El Mellah Airport Annabah,Rabah Bitat,135934.876,Algeria,36.82220078,7.809400082,Annaba Rabah Bitat Airport (AAE),Algeria
4,4,AAL,2562.0,EKYT,medium_airport,Aalborg Airport,57.092759,9.849243,10.0,EU,DK,DK-81,Aalborg,yes,EKYT,,http://www.aal.dk,https://en.wikipedia.org/wiki/Aalborg_Airport,,Aalborg,338519.958,Denmark,57.0931015,9.850000382,Aalborg Airport (AAL),Denmark
5,5,AAN,5230.0,OMAL,medium_airport,Al Ain International Airport,24.26169967651367,55.60919952392578,869.0,AS,AE,AE-AZ,Al Ain,yes,OMAL,,,https://en.wikipedia.org/wiki/Al_Ain_International_Airport,,Al Ain International,37545.445,United Arab Emirates,24.26169968,55.60919952,Al Ain International Airport (AAN),United Arab Emirates
6,6,AAQ,6511.0,URKA,medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,174.0,EU,RU,RU-KDA,Krasnyi Kurgan,yes,URKA,,http://basel.aero/en/anapa/,https://en.wikipedia.org/wiki/Anapa_Airport,Vityazevo Airport,Vityazevo,12141.066,Russian Federation,44.90000153,37.31669998,Anapa Vityazevo Airport (AAQ),Russian Federation
7,7,AAR,2540.0,EKAH,medium_airport,Aarhus Airport,56.303331,10.618286,82.0,EU,DK,DK-82,Aarhus,yes,EKAH,,http://www.aar.dk/default.asp?id=87,https://en.wikipedia.org/wiki/Aarhus_Airport,,Aarhus Airport,245273.798,Denmark,56.31029892,10.61810017,Aarhus Airport (AAR),Denmark
8,8,AAY,5315.0,OYGD,medium_airport,Al Ghaydah International Airport,16.193341,52.174186,134.0,AS,YE,YE-MR,Al Ghaydah,yes,OYGD,,,https://en.wikipedia.org/wiki/Al_Ghaydah_Airport,,Al Ghaydah,909.93,Yemen,16.19330025,52.17279816,Al Ghaydah International Airport (AAY),Yemen
9,9,ABA,6503.0,UNAA,medium_airport,Abakan International Airport,53.740002,91.385002,831.0,EU,RU,RU-KK,Abakan,yes,UNAA,,,https://en.wikipedia.org/wiki/Abakan_International_Airport,,Abakan,1468.887,Russian Federation,53.71670151,91.4332962,Abakan International Airport (ABA),Russian Federation
